"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"10 Questions for the Dalai Lama",NA,224.5,260,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Monterey Media",2007
"10th & Wolf",8000,54.7,89.1,"Not Rated",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","ThinkFilm",2006
"2006 Academy Award Nominated Short Films",NA,335.1,NA,"Not Rated",NA,"Academy Award Short Film Nominations","Compilation","Thriller","Multiple Production Methods","Multiple Creative Types",NA,"United States","English","Magnolia Pictures",2007
"24 Hour Party People",NA,1169,2435.9,"R for strong language, drug use and sexuality",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","MGM",2002
"39 Pounds of Love",NA,28.1,2.1,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Balcony Releasing",2005
"8 Films to Die For",NA,2310.7,NA,"Not Rated",NA,"8 Films to Die For","Compilation","Horror","Live Action","Multiple Creative Types",NA,"United States","English","Freestyle Releasing",2006
"A Good Woman",NA,223.1,5852.6,"PG for thematic material, sensuality and language. ",NA,NA,"Play","Drama","Live Action","Historical Fiction",NA,"United States","English","Lionsgate",2005
"A Guy Thing",20000,15543.9,1886.7,"PG-13 for language, crude humor, some sexual content and drug references","101 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","MGM",2003
"Abandon",25000,10719.4,1500,"PG-13 for drug and alcohol content, sexuality, some violence and language",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","Paramount Pictures",2002
"Absurdistan",NA,39.7,NA,"Not Rated",NA,NA,NA,"Comedy",NA,NA,NA,"United States","English","First Run Features",2009
"Across The Sea of Time",NA,16015.6,20200.5,"G",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures Classics",1995
"Adam & Steve",NA,309.4,NA,"R for sexual content, language, drug use and some crude humor",NA,NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","TLA Releasing",2006
"Africa's Elephant Kingdom",NA,13485.5,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Discovery/IMAX",1998
"After Midnight",NA,50.5,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action",NA,NA,"United States","English","Avatar",2004
"After You",NA,830.3,7274.7,"R for language",NA,NA,"Original Screenplay","Comedy","Live Action",NA,NA,"United States","English","Paramount Vantage",2004
"After the Life",NA,38.8,NA,"Not Rated",NA,"On the Run","Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Magnolia Pictures",2004
"Aimee & Jaguar",6800,927.1,NA,"Not Rated",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Dramatization",NA,"United States","English","Zeitgeist",2000
"All Roads Lead Home",NA,43.9,NA,"PG for thematic material and brief language",NA,NA,"Real Life Events","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Waldo West Productions",2008
"All the King's Men",55000,7221.5,2300,"PG-13 for an intense sequence of violence, sexual content and partial nudity.",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction",NA,"United States","English","Sony Pictures",2006
"Alone in the Dark",20000,5178.6,5409.5,"R for violence and language.",NA,NA,"Game","Horror","Live Action","Fantasy",NA,"United States","English","Lionsgate",2005
"Alone with Her",1000,10.8,833.6,"Not Rated",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","IFC Films",2007
"Ambrose Bierce: Civil War Stories",NA,22.9,NA,"Not Rated",NA,NA,NA,"Drama",NA,NA,NA,"United States","English","Hannover House",2006
"American Hardcore",NA,279.7,8.3,"R for pervasive language including sex and drug references.",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Sony Pictures Classics",2006
"American Movie: The Making of Northwestern",NA,1160.4,139.1,"R for language and some drug content",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Sony Pictures Classics",1999
"American Psycho",8000,15070.3,19200,"R for strong violence, sexuality, drug use and language.",NA,NA,"Fiction Book/Short Story","Dark Comedy","Live Action","Historical Fiction",NA,"United States","English","Lionsgate",2000
"Anna and the King",75000,39251.1,NA,"PG-13 for some intense violent sequences",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Dramatization",NA,"United States","English","20th Century Fox",1999
"Another Gay Movie",NA,654.1,NA,"Not Rated",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","TLA Releasing",2006
"Another Gay Sequel",NA,104.8,NA,"Not Rated",NA,"Another Gay Movie",NA,"Comedy","Live Action","Contemporary Fiction",NA,"United States","English","TLA Releasing",2008
"Antitrust",30000,10965.2,6900,"PG-13 for some violence and brief language",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","MGM",2001
"Anywhere But Here",23000,18653.6,NA,"PG-13 for sex-related material",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",1999
"Appleseed",NA,129.1,12.8,"R for some violence",NA,"Appurushido","Comic/Graphic Novel","Action",NA,NA,NA,"United States","English","Geneon Entertainment",2005
"April's Shower",NA,16.3,NA,"R for language, sexual content and some drug use.","100 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Regent Releasing",2006
"Arctic Tale",NA,833.532,194.1,"G",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Paramount Vantage",2007
"Aristide and the Endless Revolution",NA,7,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","First Run Features",2005
"Art School Confidential",NA,3297.1,NA,"R for language including sexual references, nudity and a scene of violence.",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures Classics",2006
"Asylum",NA,375.4,172.4,"R for strong bloody violence, graphic sexual content and pervasive language",NA,NA,"Fiction Book/Short Story","Thriller","Live Action",NA,NA,"United States","English","Paramount Vantage",2005
"Aurora Borealis",NA,60.7,NA,"R for language",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Regent Releasing",2006
"Baby Boy",16000,28734.6,NA,"R for strong sexuality, language, violence and some drug use.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures",2001
"Backstage (2006)",NA,12.7,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Miramax, Strand",2006
"Baghead",200,140,NA,"R for language, some sexual content and nudity.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Sony Pictures Classics",2008
"Ballerina",NA,114.5,NA,"Not Rated","80 minutes",NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","First Run Features",2009
"Ballets Russes",NA,815.8,372.6,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Zeitgeist",2005
"Ballistic: Ecks vs. Sever",70000,14294.8,NA,"R",NA,NA,"Original Screenplay","Action","Live Action","Contemporary Fiction",NA,"United States","English","Warner Bros.",2002
"Battle in Heaven",NA,70.9,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Tartan Films",2006
"Be Here to Love Me: A Film About Townes van Zandt",NA,129.4,8.8,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Palm Pictures",2005
"Bear Cub",NA,99.3,NA,"R for sexuality, drug use and language.",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","TLA Releasing",2004
"Beautiful",9000,3134.5,NA,"PG-13 for language and thematic elements",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Destination Films",2000
"Beautiful Boxer",NA,133.9,NA,"Not Rated",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","Regent Releasing",2005
"Beautiful Losers",NA,56.4,NA,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Sidetrack Films",2008
"Bee Season",NA,1180.6,3592.7,"PG-13 for thematic elements, a scene of sensuality and brief strong language.",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Regency Enterprises, Fox Searchlight Pictures, Bona Fide","United States","English","Fox Searchlight",2005
"Beefcake",NA,276,NA,"Not Rated",NA,NA,"Original Screenplay","Drama","Live Action",NA,NA,"United States","English","Strand",1999
"Beetle Queen Conquers Tokyo",NA,15.9,NA,"Not Rated",NA,NA,"Real Life Events","Documentary",NA,"Factual",NA,"United States","English","Argot Pictures",2010
"Before the Fall",NA,144.3,NA,"Not Rated",NA,NA,NA,"Drama","Live Action",NA,NA,"United States","English","Picture This Entertainment",2005
"Being John Malkovich",13000,22858.9,9523.5,"R for language and sexuality",NA,NA,"Original Screenplay","Dark Comedy","Live Action","Fantasy",NA,"United States","English","USA Films",1999
"Being Julia",18000,7739,6712.3,"R for some sexuality",NA,NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction",NA,"United States","English","Sony Pictures",2004
"Best in Show",6000,18621.2,2074.2,"PG-13 for language and sex-related material",NA,NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Castle Rock Entertainment","United States","English","Warner Bros.",2000
"Between Love & Goodbye",NA,18.5,NA,"Not Rated",NA,NA,NA,"Drama",NA,NA,NA,"United States","English","Embrem Entertainment",2009
"Beyond the Gates",NA,40.8,NA,"R for strong violence, disturbing images and language.",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","IFC Films",2007
"Beyond the Sea",24000,6144.8,2148.1,"PG-13 for some strong language and a scene of sensuality.",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","Lionsgate",2004
"Bigger Than the Sky",NA,20.1,NA,"PG-13 for some language and sexual references.",NA,NA,"Original Screenplay","Comedy","Live Action",NA,NA,"United States","English","MGM",2005
"Black Friday",NA,35,NA,"Not Rated",NA,NA,"Real Life Events","Drama","Live Action","Dramatization",NA,"United States","English","AdLab Films",2007
"Black Gold",NA,93.5,NA,"Not Rated",NA,NA,NA,NA,NA,NA,NA,"United States","English","California Newsreel",2006
